id,text,file,node,lineNumber
line:794945,"Player: Hey, Sally.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,12
line:2dc39b,Sally: Oh! Hi.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,13
line:34de2f,Sally: You snuck up on me.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,14
line:dcc2bc,Sally: Don't do that.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,15
line:a8e70c,Player: Hey.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,17
line:305cde,Sally: Hi.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,18
line:5d7a7c,Anything exciting happen on your watch?,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,29
line:0a7e39,Sorry about the console.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,31
line:0facf7,See you later.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally,33
line:8c3f98,Sally: Not really.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Watch,42
line:24c418,"Sally: Same old nebula, doing the same old thing.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Watch,43
line:df4eaf,"Sally: Oh, Ship wanted to see you. Go say hi to it.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Watch,44
line:1fea6c,Player: Already done!,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Watch,47
line:5df323,Sally: Go say hi again.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Watch,48
line:60c282,Sally: Bye.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Exit,57
line:d7df49,Sally: Yeah. Don't do it again.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Sally.yarn,Sally_Sorry,65
line:5837f2,"Ship: Hey, friend.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,7
line:ship9,"Player: Hi, Ship.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,8
line:ship10,Player: How's space?,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,9
line:ship11,"Ship: Oh, man.",/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,10
line:ship12,Ship: It's HUGE!,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,12
line:ship13,Ship: Hey!!,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,16
line:ship1,Player: Sally said you wanted to see me?,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,21
line:ship3,Ship: She totally did!!,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,23
line:ship4,Ship: She wanted me to tell you...,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,25
line:ship5,Ship: If you ever go off-watch without resetting the console again...,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,26
line:ship6,Ship: She'll flay you alive!,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,28
line:ship7,Player: Uh.,/home/user/Documents/c_project/YarnC99/tests/yarn-files/Projects/Space/Ship.yarn,Ship,31
